;RTLF
0;0
1;0
2;0
3;0
4;1
5;1
6;1
7;1
8;0
9;1
10;1
11;0
12;1
13;1
14;1
15;1
16;1
17;0
18;1
19;0
20;1
21;0
22;0
23;0
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;0
32;0
33;1
34;1
35;1
36;0
37;0
38;0
39;0
40;0
41;0
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;0
61;0
62;0
63;1
64;1
65;1
66;1
67;0
68;1
69;1
70;1
71;0
72;1
73;1
74;1
75;1
76;0
77;1
78;1
79;1
80;0
81;0
82;1
83;1
84;1
85;1
86;1
87;0
88;0
89;0
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;0
103;0
104;0
105;1
106;1
107;1
108;1
109;1
110;0
111;1
112;1
113;1
114;1
115;1
116;1
117;0
118;0
119;0
120;1
121;1
122;1
123;0
124;1
125;1
126;0
127;0
128;0
129;0
130;1
131;1
132;0
133;0
134;0
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;0
149;0
150;0
151;0
152;1
153;1
154;1
155;1
156;1
157;0
158;1
159;1
160;1
161;1
162;0
163;0
164;1
165;1
166;0
167;0
168;1
169;1
170;1
171;0
172;0
173;0
174;0
175;1
176;1
177;0
178;0
179;0
180;1
181;1
182;1
183;0
184;0
185;0
186;1
187;1
188;1
189;0
190;1
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;1
199;0
200;1
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;1
211;1
212;0
213;1
214;1
215;1
216;1
217;1
218;1
219;0
220;0
221;0
222;1
223;1
224;0
225;1
226;1
227;1
228;0
229;0
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;0
241;0
242;0
243;1
244;1
245;1
246;0
247;0
248;0
249;0
250;0
251;1
252;0
253;0
254;0
255;1
256;0
257;0
258;0
259;1
260;1
261;1
262;1
263;1
264;1
265;0
266;0
267;1
268;1
269;1
270;1
271;0
272;0
273;1
274;1
275;0
276;1
277;0
278;0
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;0
289;1
290;0
291;1
292;1
293;0
294;0
295;0
296;0
297;0
298;0
299;0
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;0
310;1
311;0
312;1
313;1
314;1
315;1
316;1
317;1
318;0
319;0
320;0
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
330;0
331;1
332;0
333;1
334;1
335;0
336;1
337;1
338;1
339;0
340;0
341;1
342;1
343;1
344;0
345;0
346;0
347;0
348;1
349;1
350;1
351;0
352;0
353;0
354;0
355;0
356;0
357;1
358;1
359;0
360;1
361;0
362;0
363;1
364;1
365;1
366;1
367;1
368;1
369;1
370;1
371;1
372;1
373;1
374;1
375;0
376;0
377;0
378;1
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;0
389;0
390;1
391;1
392;1
393;0
394;0
395;0
396;1
397;0
398;0
399;0
400;1
401;0
402;1
403;1
404;1
405;0
406;0
407;0
408;1
409;1
410;1
411;1
412;1
413;0
414;1
415;1
416;1
417;0
418;0
419;0
420;0
421;1
422;0
423;1
424;1
425;0
426;1
427;1
428;1
429;0
430;0
431;0
432;1
433;1
434;0
435;1
436;1
437;1
438;0
439;0
440;1
441;1
442;1
443;1
444;1
445;1
446;0
447;1
448;1
449;1
450;0
451;0
452;0
453;1
454;1
455;0
456;1
457;1
458;1
459;1
460;0
461;1
462;0
463;1
464;0
465;1
466;0
467;0
468;1
469;1
470;1
471;1
472;1
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;1
487;1
488;1
489;1
490;0
491;0
492;0
493;0
494;0
495;1
496;1
497;1
498;1
499;1
500;1
501;0
502;1
503;1
504;1
505;1
506;1
507;0
508;0
509;0
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;1
521;1
522;1
523;1
524;0
525;1
526;1
527;1
528;1
529;1
530;1
531;1
